underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
MO,0.03368421052631579,2124,19,2019-03-14,2019-03-22,55.984,0.2142668231511568,0.23516299210015187,0.22495766752523152,0.08210676659978922,0.06953297307005857,53,58.5,0.07,0.04,0.17301073859001667,0.04125608456114013
MPC,0.04736842105263159,120,19,2019-03-14,2019-03-22,59.741,0.23140467852784447,0.253577088571353,0.24274417098346449,0.06962963892468021,0.08153972841828849,55.5,62.5,0.08,0.06,0.2942457962747052,-0.06284111774686074
MU,0.026944444444444455,21390,36,2019-03-14,2019-03-22,38.426,0.6998468660855772,0.7196057484693427,0.709795065212462,0.07711842838245697,0.07775943981800865,32,44,0.18,0.11,0.45048675193661925,0.24936011414895798
MYL,0.09222222222222222,1209,9,2019-03-14,2019-03-22,28.019000000000002,0.335095648211779,0.3904236152473913,0.36381292774811846,0.11912513897124644,0.14025567327977373,26,30,0.06,0.08,0.48415803704983124,-0.14906238883805223
NKE,0.07681818181818181,1372,44,2019-03-14,2019-03-22,86.911,0.40424101868215057,0.42661151763853233,0.41557682091704456,0.07138093093299391,0.07566858681982441,78,94,0.18,0.13,0.2263190273955502,0.17792199128660036
NTAP,0.08647058823529412,132,17,2019-03-14,2019-03-22,65.769,0.2143723766393373,0.24093046421953002,0.2280383788477678,0.0783043225385851,0.12753756793307813,62,68.5,0.08,0.11,0.3129715813071523,-0.098599204667815
PM,0.08785714285714287,495,14,2019-03-14,2019-03-22,89.825,0.14575544849453034,0.15767380628490224,0.1518316171853059,0.09848403758438229,0.14049622340185608,86.5,92,0.09,0.12,0.22052287192304232,-0.07476742342851198
PYPL,0.03464285714285715,1206,28,2019-03-14,2019-03-22,99.068,0.19033906370232714,0.1982243457727954,0.194321705463043,0.15091109375672607,0.08390054090162918,95.5,103,0.27,0.09,0.2579207665876065,-0.06758170288527934
QCOM,0.04047619047619048,1670,21,2019-03-14,2019-03-22,55.418,0.2653237280956856,0.28740572962903754,0.2765851895114711,0.07326474547510642,0.08197328245813917,51.5,59,0.08,0.08,0.2502770229204359,0.015046705175249697
ROKU,0.06981481481481482,18321,54,2019-03-14,2019-03-22,61.877,0.5756805441225205,0.6022272076519236,0.5891034283202883,0.0841219140883872,0.08260866999177124,54,71,0.21,0.18,0.8559412583069012,-0.2802607141843807
SBUX,0.027999999999999994,1928,15,2019-03-14,2019-03-22,70.785,0.15816783089518874,0.1672306094872914,0.1627623105629494,0.07170026681877006,0.09277507655304873,67.5,73,0.07,0.06,0.18849821370836664,-0.030330382813177903
SLB,0.023333333333333327,442,18,2019-03-14,2019-03-22,43.11,0.2504816873671112,0.2672591177483285,0.2590062853734347,0.08549453544841357,0.0723836214257606,40.5,45.5,0.07,0.04,0.29401212898309914,-0.04353044161598796
SQ,0.027000000000000003,4941,40,2019-03-14,2019-03-22,77.423,0.3527594833277389,0.3620264965422424,0.35742302477337934,0.07287461601306655,0.07274983556865189,70.5,84,0.16,0.13,0.3992629154321409,-0.046503432104402
STX,0.020625000000000008,351,16,2019-03-14,2019-03-22,46.714,0.28331727113756344,0.2966163981218331,0.2900430690083849,0.0830980348381809,0.073959769112322,43.5,49.5,0.09,0.05,0.39049373428828316,-0.10717646315071971
TGT,0.06529411764705882,1236,17,2019-03-14,2019-03-22,76.56,0.1811127925686396,0.19880684139534546,0.19016572222354522,0.11928353761622423,0.05245100519600854,73.5,80,0.14,0.03,0.22841092462247944,-0.04729813205383984
TQQQ,0.08333333333333331,2036,30,2019-03-14,2019-03-22,53.985,0.3838091829725206,0.4117016751541065,0.3979998481524404,0.08503047082880011,0.21246632438075097,48.5,56.5,0.15,0.25,0.4487755212351836,-0.06496633826266301
TSN,0.09499999999999999,17,10,2019-03-14,2019-03-22,64.91,0.15268586090142466,0.1764764048789073,0.1650104445151779,0.08774244610757864,0.1724216784160011,62.5,66.5,0.05,0.1,0.26367361417866286,-0.1109877532772382
UAL,0.04695652173913043,387,23,2019-03-14,2019-03-22,81.522,0.22724268471611203,0.24284988451863324,0.23517578974854086,0.07497462059077808,0.05957925526753893,76.5,86,0.11,0.06,0.31669573770937326,-0.08945305299326123
VLO,0.04666666666666666,543,24,2019-03-14,2019-03-22,84.96,0.21896521026441867,0.23317107424270034,0.22617969976286106,0.07951185495304025,0.07229912889516654,80,89,0.12,0.06,0.2966263015492017,-0.07766109128478305
VXXB,0.07647058823529412,13079,17,2019-03-14,2019-03-22,29.155,0.45511366926546215,0.5022982932025399,0.4792869846482675,0.1085422090354613,0.13268616463389388,27,32.5,0.05,0.15,0.7042280734546846,-0.24911440418922248
WDC,0.03814814814814814,4377,27,2019-03-14,2019-03-22,47.595,0.39688325478207725,0.41796349143204997,0.40755968771241635,0.0681659434122639,0.12554688248164558,42.5,51,0.1,0.15,0.4964416822054171,-0.09955842742333987
WMT,0.0576470588235294,3338,17,2019-03-14,2019-03-22,98.273,0.1458340863713227,0.15952634137750993,0.15283362578479295,0.07675216659884554,0.049423199584128996,94.5,102,0.08,0.04,0.19039064508620393,-0.044556558714881234
XBI,0.07624999999999998,1092,24,2019-03-14,2019-03-22,90.532,0.23679961336836017,0.2557566232248229,0.24646045039191267,0.06809488873335012,0.07034483587834173,84.5,95,0.09,0.07,0.31762354644427426,-0.0808239330759141
XLP,0.0625,24,4,2019-03-14,2019-03-22,54.49625,0.07403522992108151,0.09166596272705407,0.08331825727937746,0.14287724663213797,0.2249284047756368,53.5,55,0.05,0.06,0.10367258197638786,-0.02963735205530635
XLV,0.07263157894736842,480,19,2019-03-14,2019-03-22,91.528,0.11234923252639901,0.12862812607743207,0.12076329091959742,0.08551453007554388,0.11128903549748065,88.5,93.5,0.06,0.06,0.14359179994503957,-0.03124256741864055
XRT,0.0757142857142857,563,7,2019-03-14,2019-03-22,44.524,0.15086267914539514,0.17446069893920324,0.16308906068967619,0.13221437029383554,0.19233970188416716,43,45.5,0.07,0.08,0.17272702800643713,-0.021864348861041993
YUM,0.08615384615384616,17,13,2019-03-14,2019-03-22,98.972,0.11784731816067366,0.13361429142417727,0.12597771483569625,0.08108273452355363,0.12724160093073467,95.5,101,0.07,0.09,0.17302985929521317,-0.055182541134539506
