underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
AA,0.09444444709353977,1340,9,2019-03-22,2019-03-29,28.19999999552965,0.35369518542375644,0.4181058105681464,0.3872420128439011,0.09010586100681128,0.13286596603313372,26,30,0.05000000074505806,0.05000000074505806,0.3852039863730593,-0.03150880094930286
ABT,0.0929411765845383,953,17,2019-03-22,2019-03-29,78.02600000798702,0.17037087703212586,0.19319466954341472,0.18214062709989354,0.1545451807045728,0.06972765232802369,75.5,80.5,0.18000000715255737,0.019999999552965164,0.1651938040699212,0.005177072962204654
AEO,0.08000000268220901,55,5,2019-03-22,2019-03-29,20.04499999731779,0.2971841134843564,0.35575857266209915,0.3277823663118998,0.16344240511355657,0.18504686617142463,19,21,0.05000000074505806,0.05000000074505806,0.37217894791434264,-0.07499483442998622
AIG,0.04384615272283554,934,13,2019-03-22,2019-03-29,42.64300001710653,0.23948421345656548,0.2614620883705141,0.2507140922943706,0.12009029097421009,0.06298111497942877,40.5,45,0.10000000149011612,0.029999999329447746,0.2819468806240217,-0.0424626671674562
AMAT,0.03000000280638536,4181,15,2019-03-22,2019-03-29,39.88100000321865,0.34001378086206185,0.3601613965911323,0.3502324961868823,0.08867052773827433,0.08915438767487727,37,42.5,0.07999999821186066,0.05999999865889549,0.31759777083361684,0.02241601002844501
AMC,0.07000000327825547,98,5,2019-03-22,2019-03-29,15.094999983906746,0.3351120075062136,0.4222599442502966,0.3811846783995313,0.13508784678653496,0.1653715430365068,14,16,0.05000000074505806,0.05000000074505806,0.5083998451025715,-0.1732878375963579
AMD,0.015652177288480427,106933,23,2019-03-22,2019-03-29,26.378000000119208,0.5380515439752815,0.5559758105221624,0.5470870889812517,0.07457933464123334,0.06860561486985173,23.5,30,0.05999999865889549,0.05999999865889549,0.699207821609236,-0.16115627763395446
APC,0.08111111209210423,1838,18,2019-03-22,2019-03-29,43.255999997258186,0.36120324424761074,0.40601478654004414,0.38426279454570983,0.07188295395298583,0.0968395900827917,39.5,46.5,0.07000000029802322,0.05000000074505806,0.3102021607140786,0.051001083533532166
APHA,0.08999999538064003,936,5,2019-03-22,2019-03-29,9.549999998882413,0.587922995530775,0.7555865189382096,0.6769654482597472,0.13395512608002913,0.2154364074920858,8.5,10.5,0.05000000074505806,0.10000000149011612,0.7183313390542817,-0.13040834352350672
ATVI,0.09300000378862024,3872,20,2019-03-22,2019-03-29,46.63700000047684,0.3492649922156918,0.38242930218172894,0.3662227504911672,0.1604437405380903,0.24356129154084816,44,48.5,0.2199999988079071,0.3100000023841858,0.3672454467479993,-0.01798045453230751
BMY,0.06368421027927022,1949,19,2019-03-22,2019-03-29,48.206999994814396,0.25676533597265727,0.28989645646433293,0.2738324243289392,0.06601465624823821,0.11099139900698746,45.5,51,0.029999999329447746,0.09000000357627869,0.27998358606400736,-0.02321825009135009
C,0.04478261206784974,16338,23,2019-03-22,2019-03-29,61.02500001192093,0.29851953064165837,0.31694882882311437,0.3078721084044963,0.07320562874076608,0.07394152115185804,56.5,64.5,0.09000000357627869,0.05999999865889549,0.20793782099446795,0.09058170964719042
