Symbol,ETF Name,Leveraged,Total Assets ($MM),YTD,Avg Volume,Previous Closing Price,1-Day Change
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,3x,$30.34,26.75%,"70,978",$30.37,-0.20%
BZQ,ProShares UltraShort MSCI Brazil,2x,$30.15,-22.40%,"95,697",$27.82,-1.59%
KORU,Direxion Daily South Korea Bull 3X Shares,3x,$30.12,10.86%,"41,789",$27.45,0.96%
FINU,ProShares UltraPro Financials,3x,$29.81,23.81%,"22,217",$69.92,1.33%
FNGD,BMO REX MicroSectors FANG+ Index -3X Inverse Leveraged ETN,3x,$28.38,-30.43%,"82,092",$27.91,-1.86%
BIS,ProShares UltraShort Nasdaq Biotechnology,2x,$27.98,-23.12%,"114,325",$17.76,-1.55%
EET,ProShares Ultra MSCI Emerging Markets,2x,$27.70,11.57%,"10,916",$69.24,0.49%
SKF,ProShares Ultra Short Financials,2x,$27.41,-12.79%,"58,738",$21.21,-0.70%
ERY,Direxion Daily Energy Bear 3X Shares,3x,$27.30,-24.45%,"332,730",$49.10,-2.79%
MLPZ,ETRACS 2xMonthly Leveraged S&P MLP Index ETN,2x,$26.82,17.28%,"1,281",$31.15,0.19%
XPP,ProShares Ultra FTSE China 50,2x,$26.40,9.48%,"8,163",$62.11,0.21%
SAA,ProShares Ultra SmallCap600,2x,$25.01,17.12%,"1,600",$90.53,1.51%
LMLP,ETRACS Monthly Pay 2xLeveraged Wells Fargo MLP Ex-Energy ETN,2x,$23.63,23.54%,"31,344",$12.91,-2.05%
RETL,Direxion Daily Retail Bull 3X Shares,3x,$22.87,23.09%,"68,111",$28.52,2.22%
UMDD,ProShares UltraPro MidCap400,3x,$21.76,24.84%,"5,303",$86.78,2.31%
EEV,UltraShort MSCI Emerging Markets,2x,$21.31,-11.10%,"27,898",$45.98,-0.71%
PPMC,Portfolio+ S&P Mid Cap ETF,1.25x,$21.07,9.94%,430,$23.33,0.86%
UCC,ProShares Ultra Consumer Services,2x,$19.89,14.21%,"3,079",$88.27,0.78%
RUSS,Direxion Daily Russia Bear 3x Shares,3x,$19.01,-22.29%,"151,821",$15.90,-1.97%
PPDM,Portfolio+ Developed Markets ETF,1.25x,$18.97,6.16%,154,$21.01,0.24%
EPV,ProShares UltraShort Europe,2x,$18.33,-7.58%,"18,792",$37.79,-0.18%
PPEM,Portfolio+ Emerging Markets ETF,1.25x,$18.23,6.74%,"1,256",$20.10,0.20%
UXI,ProShares Ultra Industrials,2x,$16.52,14.43%,"1,865",$59.84,2.31%
HDLV,ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN,2x,$16.16,10.84%,"5,195",$24.65,0.65%
SDYL,ETRACS Monthly Pay 2xLeveraged S&P Dividend ETN,2x,$15.76,8.16%,"1,254",$78.57,1.24%
DZK,Direxion Daily Developed Markets Bull 3X Shares,3x,$15.66,13.52%,"4,338",$51.99,0.52%
DUG,ProShares Ultra Short Oil & Gas,2x,$15.20,-17.62%,"78,470",$41.39,-1.69%
MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,3x,$14.95,29.58%,"45,692",$12.44,-0.72%
LBJ,Direxion Daily Latin America 3x Bull Shares,3x,$13.86,37.75%,"20,716",$26.60,2.43%
